eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-30 19:36:00.259,"{'ops': [{'retain': 2604}, {'insert': ' '}]}",,,2605,[],0,1.0,5,30,0.2,1,0,0.5,2165,0f44162d5cef4e95bc4400529003a066,
text-insert,user,2021-08-19 11:36:53.665,"{'ops': [{'retain': 1978}, {'insert': 'a'}]}",,,1979,[],0,,5,30,0.9,1,0,0.5,2135,917d343c54e145969496c1aabe8c321c,
text-insert,user,2021-08-22 01:42:16.584,"{'ops': [{'retain': 1159}, {'insert': 'e'}]}",,,1160,[],0,0.0,5,30,0.9,1,0,0.5,709,80624eb1f1d241e8b1fa4cdc70d43f0a,
text-insert,user,2021-08-18 14:20:30.837,"{'ops': [{'retain': 1554}, {'insert': ' '}]}",,,1555,[],2,2.0,5,30,0.75,1,0,1.0,966,f3f02425b9904e5b8084c47c1c6d2a42,
text-insert,user,2021-08-19 19:49:09.197,"{'ops': [{'retain': 1826}, {'insert': ' '}]}",,,1827,[],0,0.0,5,30,0.9,1,0,0.5,1624,7b2aaf58f55a434f91bb71515a329f13,
text-insert,user,2021-08-20 20:51:15.190,"{'ops': [{'retain': 1276}, {'insert': ' '}]}",,,1277,[],0,,5,30,0.2,1,0,0.5,941,193eacf06dee44f788a52e1d2652419b,
text-insert,user,2021-08-23 21:04:01.257,"{'ops': [{'retain': 700}, {'insert': 'e'}]}",,,701,[],1,1.0,5,30,0.9,1,0,0.5,486,15a3a2aac98e48af9335bbdb3611892d,
text-insert,user,2021-08-29 23:59:05.012,"{'ops': [{'retain': 1095}, {'insert': ' '}]}",,,1096,[],4,4.0,5,30,0.75,1,0,1.0,1174,a155fa8cfd624d278fb8f37cc32b0565,
text-insert,user,2021-08-23 03:15:05.071,"{'ops': [{'retain': 965}, {'insert': 'u'}]}",,,966,[],2,2.0,5,30,0.75,1,0,1.0,983,83fd21afaaf9416180e3174284de4ce1,
text-insert,user,2021-08-18 14:54:41.268,"{'ops': [{'retain': 892}, {'insert': 'p'}]}",,,893,[],0,0.0,5,30,0.3,1,0,0.0,742,df6068305d29453eb22a51d46085e197,
text-insert,user,2021-09-05 12:39:03.918,"{'ops': [{'retain': 839}, {'insert': 'd'}]}",,,840,[],3,3.0,5,30,0.2,1,0,0.5,467,2ead04a3167f4c38875802ca6874084e,
text-insert,user,2021-08-29 18:09:24.904,"{'ops': [{'retain': 864}, {'insert': 't'}]}",,,865,[],0,0.0,5,30,0.3,1,0,0.0,623,eb15a76230f74cf781b0ace876dec6de,
text-insert,user,2021-08-30 00:01:34.455,"{'ops': [{'retain': 1761}, {'insert': 'g'}]}",,,1762,[],0,0.0,5,30,0.9,1,0,0.5,792,00bf170a815a42359f3aef35f5674ddc,
text-insert,user,2021-08-29 19:55:58.068,"{'ops': [{'retain': 3009}, {'insert': 'u'}]}",,,3010,[],3,3.0,5,30,0.3,1,0,0.0,2785,c5166a329a9c45f990a5d3c692d7faa0,
text-insert,user,2021-08-16 01:13:50.321,"{'ops': [{'retain': 944}, {'insert': 'o'}]}",,,945,[],0,1.0,5,30,0.3,1,0,0.0,775,050118bfac954920a524e7070132690b,
text-insert,user,2021-08-31 14:11:04.430,"{'ops': [{'retain': 738}, {'insert': ' '}]}",,,739,[],0,0.0,5,30,0.3,1,0,0.0,433,1a0d49b00ae844df971176e9aab9b18a,
text-insert,user,2021-09-04 11:34:45.309,"{'ops': [{'retain': 1422}, {'insert': 't'}]}",,,1423,[],0,2.0,5,30,0.9,1,0,0.5,1309,06bfae7a7e804288accd988a9d2259dd,
text-insert,user,2021-08-16 03:15:08.191,"{'ops': [{'retain': 911}, {'insert': 'h'}]}",,,912,[],0,1.0,5,30,0.3,1,0,0.0,390,5929420aebc940789c58a72f8c8ccd56,
text-insert,user,2021-09-03 14:12:29.531,"{'ops': [{'retain': 634}, {'insert': 'h'}]}",,,635,[],2,2.0,5,30,0.75,1,0,1.0,757,e34e7611bef74a0aafda89752af534f3,
text-insert,user,2021-08-19 13:32:28.740,"{'ops': [{'retain': 1502}, {'insert': 'w'}]}",,,1503,[],0,1.0,5,30,0.2,1,0,0.5,759,b30238629d9040b192604dfd1f7d3eaa,
text-insert,user,2021-08-23 11:00:26.789,"{'ops': [{'retain': 492}, {'insert': 'e'}]}",,,493,[],0,,5,30,0.9,1,0,0.5,51,78584b68efc441dc9e63092f93760523,
text-insert,user,2021-09-02 07:21:20.958,"{'ops': [{'retain': 1605}, {'insert': ','}]}",,,1606,[],4,4.0,5,30,0.3,1,0,0.0,1649,cb5036e1f4494870bf96a478065d3269,
text-insert,user,2021-08-27 04:09:42.914,"{'ops': [{'retain': 650}, {'insert': 'm'}]}",,,651,[],0,,5,30,0.2,1,0,0.5,384,8cd013d1f1c0425aaf34f6295e350c5b,
text-insert,user,2021-08-23 12:12:53.189,"{'ops': [{'retain': 1377}, {'insert': 'O'}]}",,,1378,[],2,2.0,5,30,0.9,1,0,0.5,378,ae1f2b6df9a74fe4b1eeec602bf6c3ae,
text-insert,user,2021-08-18 10:37:39.775,"{'ops': [{'retain': 2573}, {'insert': ' '}]}",,,2574,[],0,1.0,5,30,0.75,1,0,1.0,2407,c99f8c2465da42cc91498fd9d99e360b,
text-insert,user,2021-08-17 15:11:19.769,"{'ops': [{'retain': 327}, {'insert': ' '}]}",,,328,[],0,2.0,5,30,0.75,1,0,1.0,41,04a4118571c642a18348c2e4a01f67c0,
